Sleep Stage,MeanP_Alpha_F4,MedianF_Alpha_F4,MeanF_Alpha_F4,Spectral Edge_Alpha_F4,PeakF_Alpha_F4,MeanP_Beta_F4,MedianF_Beta_F4,MeanF_Beta_F4,Spectral Edge_Beta_F4,PeakF_Beta_F4,MeanP_Theta_F4,MedianF_Theta_F4,MeanF_Theta_F4,Spectral Edge_Theta_F4,PeakF_Theta_F4,MeanP_Delta_F4,MedianF_Delta_F4,MeanF_Delta_F4,Spectral Edge_Delta_F4,PeakF_Delta_F4,MeanP_Gamma_F4,MedianF_Gamma_F4,MeanF_Gamma_F4,Spectral Edge_Gamma_F4,PeakF_Gamma_F4,MeanP_Alpha_C4,MedianF_Alpha_C4,MeanF_Alpha_C4,Spectral Edge_Alpha_C4,PeakF_Alpha_C4,MeanP_Beta_C4,MedianF_Beta_C4,MeanF_Beta_C4,Spectral Edge_Beta_C4,PeakF_Beta_C4,MeanP_Theta_C4,MedianF_Theta_C4,MeanF_Theta_C4,Spectral Edge_Theta_C4,PeakF_Theta_C4,MeanP_Delta_C4,MedianF_Delta_C4,MeanF_Delta_C4,Spectral Edge_Delta_C4,PeakF_Delta_C4,MeanP_Gamma_C4,MedianF_Gamma_C4,MeanF_Gamma_C4,Spectral Edge_Gamma_C4,PeakF_Gamma_C4,MeanP_Alpha_O2,MedianF_Alpha_O2,MeanF_Alpha_O2,Spectral Edge_Alpha_O2,PeakF_Alpha_O2,MeanP_Beta_O2,MedianF_Beta_O2,MeanF_Beta_O2,Spectral Edge_Beta_O2,PeakF_Beta_O2,MeanP_Theta_O2,MedianF_Theta_O2,MeanF_Theta_O2,Spectral Edge_Theta_O2,PeakF_Theta_O2,MeanP_Delta_O2,MedianF_Delta_O2,MeanF_Delta_O2,Spectral Edge_Delta_O2,PeakF_Delta_O2,MeanP_Gamma_O2,MedianF_Gamma_O2,MeanF_Gamma_O2,Spectral Edge_Gamma_O2,PeakF_Gamma_O2
NREM,0.00084,9.24098,13.61171,12.86244,10.86439,0.00054,12.11317,20.85463,21.35415,10.86439,0.00164,4.74537,10.98927,9.24098,2.62244,0.01124,0.99902,5.24488,2.74732,0.74927,5.23e-05,31.96878,49.82634,49.95122,49.95122,0.00134,9.74049,13.36195,12.98732,12.73756,0.00089,12.4878,19.10634,19.23122,12.73756,0.00291,3.9961,11.98829,8.61659,2.8722,0.01587,1.24878,4.99512,2.99707,0.87415,4.92e-05,20.97951,38.83707,49.82634,49.95122,0.00059,7.9922,13.86146,13.36195,5.24488,0.00038,12.98732,21.6039,22.10341,12.61268,0.00128,4.99512,10.48976,8.11707,5.24488,0.00435,1.1239,5.74439,3.62146,0.87415,3.97e-05,31.34439,49.82634,49.95122,49.95122
NREM,0.00095,10.48976,13.48683,13.1122,12.11317,0.0007,12.23805,19.73073,20.10537,12.11317,0.00138,5.24488,11.98829,10.73951,3.24683,0.00634,1.49854,5.61951,2.99707,0.99902,5.78e-05,28.09756,49.82634,49.95122,49.95122,0.00129,10.98927,13.23707,12.98732,12.4878,0.00095,12.36293,18.98146,19.23122,12.4878,0.00204,4.87024,12.36293,10.73951,4.12098,0.00985,1.24878,5.36976,3.12195,0.99902,5.2e-05,20.72976,37.21366,49.82634,49.95122,0.00059,7.9922,13.98634,13.23707,5.61951,0.00039,12.73756,21.47902,22.10341,12.73756,0.00119,5.12,10.98927,8.11707,5.61951,0.00351,1.37366,6.11902,3.87122,0.87415,4e-05,31.09463,49.82634,49.95122,49.95122
NREM,0.00079,9.61561,14.11122,13.23707,9.99024,0.00054,12.11317,20.97951,21.35415,11.48878,0.00127,5.12,11.3639,9.86537,3.62146,0.00536,1.37366,5.74439,3.24683,0.99902,5.31e-05,29.97073,49.82634,49.95122,49.95122,0.00089,8.86634,14.11122,13.48683,6.86829,0.00061,12.73756,20.72976,21.10439,12.4878,0.00181,4.62049,11.3639,8.61659,3.12195,0.00847,1.49854,5.49463,3.12195,1.37366,4.34e-05,23.3522,39.8361,49.82634,49.95122,0.00056,7.24293,14.2361,13.23707,5.74439,0.00032,13.1122,22.22829,22.47805,12.98732,0.00137,5.12,9.24098,7.74244,5.74439,0.00353,1.49854,5.99415,4.12098,0.87415,3.64e-05,31.09463,49.82634,49.95122,49.95122
NREM,0.00122,9.99024,13.1122,12.73756,10.73951,0.00079,11.98829,19.3561,19.48098,12.73756,0.00245,4.12098,11.23902,9.61561,2.37268,0.01864,1.1239,4.74537,2.74732,1.1239,5.84e-05,26.97366,49.82634,49.95122,49.95122,0.00167,10.61463,13.36195,13.1122,12.73756,0.00118,12.61268,17.23317,17.23317,12.73756,0.00332,3.62146,12.36293,9.49073,3.12195,0.02446,1.1239,4.49561,2.8722,0.62439,5.57e-05,18.10732,36.21463,49.82634,49.95122,0.00057,8.99122,13.86146,13.1122,12.73756,0.0004,12.73756,21.10439,21.72878,12.73756,0.00111,4.87024,11.61366,8.74146,3.9961,0.00489,1.1239,5.74439,3.24683,0.62439,3.88e-05,28.97171,49.82634,49.95122,49.95122
NREM,0.00103,10.24,13.1122,12.61268,11.23902,0.00068,11.73854,19.98049,20.10537,11.23902,0.00177,4.74537,11.3639,10.24,3.62146,0.00789,1.37366,5.36976,3.12195,0.99902,5.47e-05,28.4722,49.82634,49.95122,49.95122,0.00117,10.36488,13.36195,13.1122,11.23902,0.00082,12.4878,19.10634,19.3561,12.86244,0.00229,4.37073,11.73854,9.61561,3.62146,0.01245,1.24878,4.99512,3.12195,0.62439,4.72e-05,21.72878,37.83805,49.82634,49.95122,0.00057,8.11707,13.73659,12.86244,6.49366,0.00035,12.61268,21.47902,21.97854,12.61268,0.00126,4.87024,10.24,8.11707,4.62049,0.00326,1.62341,6.11902,3.9961,0.99902,3.63e-05,31.46927,49.82634,49.95122,49.95122
NREM,0.00084,9.86537,13.73659,13.1122,11.61366,0.00057,11.98829,20.72976,21.22927,11.61366,0.00161,4.37073,11.48878,9.61561,2.37268,0.01296,1.24878,4.74537,2.49756,0.99902,5.31e-05,29.97073,49.82634,49.95122,49.95122,0.00105,9.86537,14.11122,13.48683,13.1122,0.00074,12.86244,19.23122,19.48098,13.1122,0.00225,4.12098,11.48878,8.99122,2.99707,0.01928,1.1239,4.62049,2.62244,0.99902,4.62e-05,22.47805,38.58732,49.82634,49.95122,0.00069,7.3678,13.61171,12.98732,6.61854,0.00037,12.73756,21.35415,21.85366,13.1122,0.00163,4.87024,9.36585,7.86732,4.87024,0.00463,1.37366,5.99415,4.12098,1.24878,3.76e-05,30.22049,49.82634,49.95122,49.95122
NREM,0.00089,9.86537,13.61171,12.98732,10.73951,0.0006,12.11317,20.48,20.97951,11.73854,0.00163,4.62049,11.48878,9.74049,3.62146,0.00915,1.37366,5.24488,2.8722,0.87415,5.39e-05,29.34634,49.82634,49.95122,49.95122,0.00129,10.36488,13.61171,13.23707,12.98732,0.00092,12.61268,18.73171,18.98146,12.98732,0.00265,4.12098,12.11317,9.1161,3.74634,0.01048,1.87317,5.12,3.49659,0.87415,5.04e-05,20.60488,39.21171,49.82634,49.95122,0.0007,7.3678,13.48683,12.73756,5.36976,0.00039,12.4878,21.6039,22.10341,12.73756,0.00162,5.24488,9.61561,7.74244,5.36976,0.00406,1.62341,6.2439,3.9961,0.49951,3.89e-05,30.34537,49.82634,49.95122,49.95122
NREM,0.00097,10.48976,12.98732,12.4878,11.11415,0.00065,11.86341,19.73073,19.98049,11.11415,0.00175,4.12098,11.48878,10.36488,3.74634,0.01012,1.24878,4.87024,3.12195,0.62439,5.27e-05,29.22146,49.82634,49.95122,49.95122,0.00149,10.48976,13.1122,12.86244,12.36293,0.00101,12.23805,17.73268,17.85756,12.36293,0.00306,4.12098,12.11317,9.49073,3.74634,0.01357,1.37366,4.99512,3.49659,0.62439,5.05e-05,19.85561,37.96293,49.82634,49.95122,0.00057,8.11707,13.98634,12.98732,12.4878,0.00036,12.4878,21.85366,22.35317,12.4878,0.00129,4.74537,10.61463,7.9922,3.74634,0.00404,1.37366,5.74439,3.74634,0.87415,3.68e-05,30.96976,49.82634,49.95122,49.95122
NREM,0.00082,9.36585,13.98634,13.23707,12.11317,0.00056,12.36293,20.48,20.97951,12.11317,0.00151,4.62049,11.3639,9.36585,3.87122,0.01488,0.87415,4.74537,2.37268,0.74927,5.11e-05,30.09561,49.82634,49.95122,49.95122,0.00101,9.36585,13.73659,13.23707,10.61463,0.00068,12.61268,19.85561,20.23024,12.61268,0.00223,4.37073,11.3639,8.61659,3.74634,0.014,1.1239,4.99512,2.8722,0.74927,4.4e-05,22.85268,40.21073,49.82634,49.95122,0.00055,7.61756,14.2361,13.23707,4.74537,0.00034,12.73756,21.72878,22.22829,12.73756,0.00133,4.74537,9.74049,7.74244,4.74537,0.00599,0.99902,5.61951,3.37171,0.74927,3.6e-05,31.46927,49.82634,49.95122,49.95122
NREM,0.00089,9.86537,13.61171,12.61268,10.98927,0.00059,11.61366,20.35512,20.72976,10.98927,0.00158,4.62049,11.23902,9.99024,4.37073,0.01201,1.1239,4.99512,2.62244,0.87415,5.18e-05,30.34537,49.82634,49.95122,49.95122,0.00098,9.24098,13.48683,12.98732,10.98927,0.00061,12.23805,19.85561,19.98049,12.4878,0.0022,4.24585,10.98927,8.74146,3.49659,0.01252,1.37366,5.12,2.99707,0.87415,4.05e-05,23.60195,43.95707,49.82634,49.95122,0.0005,7.11805,13.98634,12.86244,6.49366,0.00028,12.86244,22.47805,23.10244,12.86244,0.00148,4.49561,8.99122,7.3678,3.87122,0.00582,1.24878,5.36976,3.49659,0.62439,3.43e-05,33.84195,49.82634,49.95122,49.95122
NREM,0.00077,10.36488,13.61171,12.73756,10.73951,0.00053,11.98829,20.85463,21.35415,11.48878,0.00141,4.49561,11.48878,10.11512,3.74634,0.01026,0.99902,5.12,2.74732,0.49951,5.16e-05,32.34341,49.82634,49.95122,49.95122,0.00094,10.36488,13.61171,13.23707,12.36293,0.00068,12.61268,19.48098,19.85561,12.4878,0.00201,3.74634,12.11317,8.99122,3.62146,0.0218,0.99902,4.24585,2.37268,0.99902,4.18e-05,22.22829,40.96,49.82634,49.95122,0.00049,7.61756,14.11122,13.1122,6.36878,0.0003,12.86244,21.85366,22.35317,12.86244,0.00132,4.49561,9.36585,7.61756,4.24585,0.00688,0.74927,5.36976,3.24683,0.74927,3.42e-05,33.71707,49.82634,49.95122,49.95122
NREM,0.00109,10.61463,12.73756,12.36293,11.11415,0.00073,11.73854,19.48098,19.60585,11.11415,0.00166,4.74537,11.61366,10.86439,3.9961,0.00949,1.1239,5.36976,2.99707,1.24878,5.43e-05,27.47317,49.82634,49.95122,49.95122,0.00131,10.73951,12.98732,12.61268,12.23805,0.0009,12.23805,18.85659,18.98146,12.23805,0.00258,3.9961,12.11317,9.61561,3.62146,0.01561,1.1239,4.74537,3.12195,0.62439,4.87e-05,21.47902,39.21171,49.82634,49.95122,0.0006,7.74244,13.48683,12.98732,12.23805,0.00037,12.4878,21.47902,21.97854,12.36293,0.00145,4.74537,10.36488,7.61756,3.74634,0.00757,0.74927,5.49463,3.37171,0.74927,3.67e-05,31.46927,49.82634,49.95122,49.95122
NREM,0.00098,9.99024,13.23707,12.4878,10.98927,0.00062,11.3639,19.98049,20.23024,10.98927,0.00165,4.87024,11.11415,10.24,4.99512,0.01527,0.99902,4.99512,2.2478,0.62439,5.09e-05,28.97171,49.82634,49.95122,49.95122,0.00098,9.86537,13.73659,13.36195,10.98927,0.00067,12.4878,19.60585,19.85561,10.98927,0.00209,4.12098,11.3639,9.24098,3.74634,0.02101,0.99902,4.74537,2.49756,0.49951,4.29e-05,22.47805,40.83512,49.82634,49.95122,0.00049,7.61756,14.36098,13.48683,5.99415,0.0003,13.36195,21.97854,22.60293,13.36195,0.00125,4.62049,9.49073,7.74244,4.49561,0.00541,0.99902,5.49463,3.49659,0.99902,3.42e-05,32.09366,49.82634,49.95122,49.95122
NREM,0.00084,9.74049,13.1122,12.73756,11.73854,0.00057,11.98829,20.35512,20.85463,11.98829,0.00146,4.87024,11.61366,9.86537,4.99512,0.00964,1.24878,5.12,2.74732,0.62439,4.88e-05,28.72195,49.82634,49.95122,49.95122,0.00109,10.24,13.23707,12.86244,12.36293,0.00078,12.36293,19.23122,19.48098,12.73756,0.00195,4.24585,12.11317,9.86537,4.12098,0.01249,1.24878,4.74537,2.8722,0.74927,4.55e-05,22.35317,41.45951,49.82634,49.95122,0.00053,7.61756,14.2361,12.98732,7.61756,0.00033,12.86244,22.22829,22.47805,12.86244,0.00118,4.87024,9.99024,7.86732,4.87024,0.00517,1.1239,5.86927,3.24683,0.74927,3.6e-05,30.96976,49.82634,49.95122,49.95122
NREM,0.00089,9.86537,13.1122,12.61268,11.98829,0.0006,11.86341,20.35512,20.60488,11.98829,0.00146,4.99512,11.61366,10.11512,3.9961,0.00861,1.24878,5.36976,2.8722,0.87415,4.99e-05,28.22244,49.82634,49.95122,49.95122,0.00137,10.73951,12.98732,12.73756,12.23805,0.00097,12.23805,18.2322,18.35707,12.23805,0.00221,4.62049,12.11317,10.61463,3.9961,0.01196,1.24878,5.12,2.8722,0.74927,5.19e-05,20.85463,40.96,49.82634,49.95122,0.00062,7.9922,13.61171,12.86244,6.74341,0.00037,12.36293,21.47902,21.97854,12.23805,0.00147,4.74537,10.36488,7.9922,4.12098,0.00666,1.1239,5.49463,3.24683,0.87415,3.67e-05,30.22049,49.82634,49.95122,49.95122
NREM,0.00088,10.24,13.1122,12.61268,11.86341,0.00061,11.98829,20.35512,20.60488,11.86341,0.00138,4.99512,11.86341,10.48976,3.37171,0.01006,1.1239,5.12,2.49756,0.99902,5.08e-05,28.84683,49.82634,49.95122,49.95122,0.00115,10.48976,12.98732,12.86244,11.98829,0.00081,12.23805,18.48195,18.48195,12.4878,0.00198,4.37073,12.11317,10.24,4.37073,0.01488,1.24878,4.62049,2.62244,0.62439,4.44e-05,21.47902,43.45756,49.82634,49.95122,0.0005,8.24195,13.86146,13.1122,5.86927,0.00032,12.61268,21.97854,22.35317,12.4878,0.00113,4.74537,10.86439,8.11707,5.12,0.00582,0.99902,5.61951,3.12195,0.62439,3.43e-05,30.96976,49.82634,49.95122,49.95122
NREM,0.00137,9.99024,14.11122,13.1122,10.73951,0.00115,12.73756,25.47512,28.22244,10.73951,0.00196,4.99512,11.23902,10.48976,2.49756,0.01794,1.1239,4.74537,2.37268,0.74927,0.00025,38.33756,48.20293,54.94634,49.95122,0.00131,10.11512,14.61073,13.36195,10.61463,0.00115,13.23707,25.35024,27.72293,10.73951,0.00203,4.74537,11.48878,10.36488,3.62146,0.02041,0.87415,4.62049,2.12293,0.74927,0.00024,36.9639,47.57854,55.07122,49.95122,0.0006,9.24098,16.85854,15.98439,6.86829,0.00068,18.48195,28.4722,35.59024,15.98439,0.00111,4.74537,10.98927,9.1161,3.9961,0.0124,0.62439,4.99512,1.99805,0.49951,0.00023,38.96195,47.95317,55.1961,49.95122
NREM,0.00042,8.99122,14.61073,13.73659,10.86439,0.0003,13.36195,21.97854,22.7278,11.98829,0.00094,4.37073,10.98927,8.49171,3.24683,0.00589,1.24878,4.99512,2.99707,0.74927,4.26e-05,46.82927,49.82634,49.95122,49.95122,0.00056,8.49171,14.61073,13.61171,8.61659,0.00037,13.1122,20.60488,21.10439,12.86244,0.00125,4.37073,10.73951,8.36683,3.37171,0.00607,1.49854,5.24488,3.24683,0.99902,3.19e-05,26.09951,46.32976,49.95122,49.95122,0.00038,7.11805,13.36195,11.86341,6.61854,0.00019,11.61366,22.47805,23.10244,9.74049,0.00094,5.12,9.49073,7.74244,5.24488,0.00396,0.87415,5.99415,3.37171,0.12488,2.73e-05,41.45951,49.82634,49.95122,49.95122
NREM,0.00097,10.86439,12.61268,12.36293,11.73854,0.00066,11.73854,18.48195,18.60683,11.73854,0.0014,5.12,11.86341,10.98927,3.74634,0.00821,1.1239,5.49463,2.74732,1.1239,5.05e-05,31.8439,49.82634,49.95122,49.95122,0.00142,11.48878,12.98732,12.86244,12.23805,0.00104,12.11317,16.10927,16.10927,12.23805,0.00206,4.74537,12.23805,11.61366,2.62244,0.01124,1.1239,5.24488,2.99707,1.1239,4.77e-05,18.10732,39.21171,49.82634,49.95122,0.00037,8.24195,13.36195,12.86244,5.74439,0.00023,12.4878,21.35415,22.10341,12.61268,0.00085,4.87024,10.86439,8.11707,5.74439,0.00359,1.24878,5.61951,3.24683,1.1239,2.74e-05,37.83805,49.82634,49.95122,49.95122
NREM,0.00096,10.61463,12.61268,12.36293,10.73951,0.00063,11.73854,18.73171,18.85659,12.11317,0.00148,4.99512,11.73854,10.73951,3.9961,0.00884,1.24878,5.36976,2.74732,0.74927,4.94e-05,33.5922,49.82634,49.95122,49.95122,0.0013,10.86439,12.61268,12.4878,12.11317,0.00085,11.98829,17.35805,17.35805,12.11317,0.00223,4.87024,11.98829,10.61463,2.99707,0.01226,1.24878,5.36976,2.99707,0.62439,4.14e-05,20.23024,39.33659,49.82634,49.95122,0.00047,6.86829,12.73756,12.36293,5.12,0.00024,11.98829,21.47902,21.85366,12.4878,0.00121,5.12,9.74049,7.24293,5.12,0.00485,1.1239,5.74439,3.24683,0.62439,2.82e-05,39.96098,49.82634,49.95122,49.95122
NREM,0.00094,10.24,12.73756,12.36293,10.86439,0.00059,11.48878,19.10634,19.23122,11.61366,0.00155,4.49561,11.48878,10.36488,3.62146,0.01765,0.99902,4.37073,2.2478,1.1239,4.76e-05,35.84,49.82634,49.95122,49.95122,0.00108,10.61463,12.98732,12.86244,12.36293,0.00074,12.23805,17.98244,17.98244,12.36293,0.00207,3.74634,12.11317,10.11512,2.8722,0.02136,0.99902,4.37073,2.62244,0.49951,3.87e-05,21.22927,41.58439,49.82634,49.95122,0.00043,7.11805,13.1122,12.73756,5.86927,0.00023,12.36293,21.47902,21.85366,12.86244,0.00118,4.62049,9.74049,7.24293,3.9961,0.00915,0.74927,5.36976,2.62244,0.49951,2.77e-05,39.08683,49.82634,49.95122,49.95122
NREM,0.00078,10.48976,12.86244,12.36293,10.86439,0.0005,11.48878,18.98146,19.10634,10.98927,0.00133,4.62049,11.48878,10.48976,3.24683,0.00912,1.24878,4.87024,2.74732,0.87415,4.36e-05,39.58634,49.82634,49.95122,49.95122,0.00096,10.24,13.1122,12.98732,12.86244,0.00063,12.23805,17.98244,17.98244,12.86244,0.00169,4.62049,11.98829,9.86537,3.24683,0.00937,1.37366,5.12,2.8722,0.87415,3.53e-05,22.47805,45.83024,49.95122,49.95122,0.00037,7.74244,13.36195,12.86244,5.49463,0.00021,12.4878,22.10341,22.35317,12.86244,0.00097,4.62049,9.86537,7.61756,4.99512,0.00443,1.24878,5.36976,3.24683,0.74927,2.66e-05,38.21268,49.82634,49.95122,49.95122
NREM,0.00082,10.24,12.61268,12.23805,10.36488,0.00052,11.3639,19.60585,19.85561,11.23902,0.00127,4.87024,11.3639,10.48976,4.87024,0.01366,0.99902,4.74537,2.2478,0.74927,4.63e-05,38.83707,49.82634,49.95122,49.95122,0.00099,10.48976,12.98732,12.73756,9.61561,0.00067,11.98829,17.85756,17.85756,12.61268,0.00156,4.74537,11.98829,10.61463,4.87024,0.01588,0.87415,4.87024,2.37268,0.62439,3.63e-05,22.10341,43.08293,49.82634,49.95122,0.00036,7.9922,13.1122,12.73756,6.2439,0.00021,12.36293,22.22829,22.47805,12.36293,0.00087,4.49561,10.48976,7.74244,3.9961,0.0054,0.87415,5.36976,2.8722,0.49951,2.8e-05,40.46049,49.82634,49.95122,49.95122
NREM,0.00085,10.24,12.4878,12.11317,10.86439,0.00052,11.11415,19.60585,19.85561,10.86439,0.00147,4.87024,10.98927,10.36488,5.12,0.01787,0.87415,4.74537,2.12293,0.62439,4.62e-05,38.21268,49.82634,49.95122,49.95122,0.00093,9.74049,12.86244,12.4878,10.86439,0.00057,11.86341,19.3561,19.3561,12.4878,0.00184,4.37073,11.3639,9.49073,3.24683,0.0281,0.74927,4.37073,2.12293,0.62439,3.4e-05,23.10244,43.2078,49.82634,49.95122,0.0003,7.49268,13.61171,12.86244,5.12,0.00018,12.4878,23.10244,23.97659,12.61268,0.00081,4.62049,9.86537,7.3678,5.12,0.00923,0.74927,4.99512,2.12293,0.74927,2.67e-05,41.45951,49.82634,49.95122,49.95122
NREM,0.00085,9.99024,12.61268,12.23805,10.86439,0.00052,11.61366,19.60585,19.85561,10.86439,0.0016,4.49561,11.23902,9.86537,3.9961,0.01578,0.99902,4.62049,2.37268,0.99902,4.69e-05,40.08585,49.82634,49.95122,49.95122,0.00091,10.11512,12.98732,12.73756,12.11317,0.00059,12.11317,18.10732,18.2322,12.61268,0.00182,4.12098,11.86341,9.61561,3.12195,0.01543,0.99902,4.74537,2.62244,0.62439,3.28e-05,22.22829,43.8322,49.95122,49.95122,0.00038,7.3678,13.23707,12.61268,7.24293,0.0002,12.23805,22.22829,22.47805,12.11317,0.00098,4.62049,9.61561,7.61756,4.62049,0.00641,1.1239,5.24488,2.8722,0.62439,2.67e-05,41.45951,49.82634,49.95122,49.95122
NREM,0.00067,9.36585,13.23707,12.23805,10.73951,0.00039,11.3639,20.72976,20.97951,10.73951,0.00145,4.49561,10.73951,9.24098,5.12,0.01693,0.99902,4.74537,2.12293,1.24878,4.15e-05,45.20585,49.82634,49.95122,49.95122,0.00076,9.49073,13.23707,12.61268,9.99024,0.00046,12.11317,20.23024,20.35512,12.4878,0.00196,3.87122,10.98927,8.11707,2.8722,0.02717,0.99902,4.12098,2.2478,0.99902,3.06e-05,24.10146,44.20683,49.95122,49.95122,0.00031,6.86829,13.73659,12.73756,5.61951,0.00017,12.61268,22.7278,23.60195,11.61366,0.00089,4.74537,9.36585,7.11805,4.24585,0.00743,0.87415,5.12,2.49756,0.62439,2.58e-05,41.33463,49.82634,49.95122,49.95122
NREM,0.00061,9.99024,13.23707,12.61268,11.23902,0.0004,11.73854,20.60488,20.97951,11.23902,0.00125,3.9961,11.11415,9.74049,2.8722,0.01262,1.1239,4.37073,2.49756,1.37366,4.38e-05,48.82732,49.82634,49.95122,49.95122,0.00075,9.74049,13.36195,13.1122,12.36293,0.00049,12.36293,18.85659,18.98146,12.36293,0.00176,3.87122,11.48878,8.74146,3.37171,0.02034,0.99902,4.37073,2.37268,0.99902,3.05e-05,23.60195,45.45561,49.95122,49.95122,0.00041,6.86829,13.23707,12.36293,6.61854,0.0002,12.11317,22.35317,22.60293,12.36293,0.00116,4.62049,8.99122,7.24293,3.9961,0.00549,0.99902,5.49463,3.37171,0.62439,2.64e-05,41.58439,49.82634,49.95122,49.95122
NREM,0.00075,9.36585,12.73756,12.23805,10.48976,0.00043,11.11415,20.35512,20.48,10.48976,0.0017,4.12098,10.73951,9.1161,3.74634,0.01402,1.1239,4.62049,2.62244,0.74927,4.41e-05,47.95317,49.95122,49.95122,49.95122,0.0011,9.86537,12.86244,12.61268,12.61268,0.00069,12.23805,17.85756,17.73268,12.61268,0.00234,3.9961,11.98829,9.1161,3.9961,0.01881,1.1239,4.62049,2.74732,0.74927,3.51e-05,21.10439,41.58439,49.95122,49.95122,0.00042,7.24293,12.98732,12.61268,6.36878,0.00023,12.36293,21.6039,22.10341,12.61268,0.0012,4.37073,9.61561,7.24293,3.87122,0.00597,0.87415,5.36976,3.37171,0.74927,2.81e-05,41.33463,49.82634,49.95122,49.95122
NREM,0.00071,9.86537,12.73756,12.36293,10.24,0.00044,11.3639,19.98049,20.10537,11.3639,0.0014,4.37073,11.11415,9.74049,5.74439,0.01311,1.1239,4.62049,2.49756,0.62439,4.29e-05,42.83317,49.82634,49.95122,49.95122,0.00085,9.49073,13.1122,12.73756,9.74049,0.0005,12.11317,18.73171,18.73171,12.61268,0.00213,3.87122,10.73951,8.61659,2.74732,0.02515,0.87415,4.24585,2.49756,0.62439,2.99e-05,23.22732,49.32683,49.95122,49.95122,0.00035,7.3678,13.36195,12.73756,5.36976,0.0002,12.4878,22.10341,22.47805,12.61268,0.00098,4.62049,9.61561,7.3678,3.62146,0.00576,0.87415,5.24488,3.12195,0.49951,2.65e-05,40.71024,49.82634,49.95122,49.95122
NREM,0.00083,10.11512,12.4878,12.23805,10.36488,0.00051,11.61366,19.10634,19.3561,12.11317,0.00154,4.37073,11.3639,10.11512,4.12098,0.01653,1.1239,4.62049,2.2478,1.1239,4.51e-05,39.46146,49.82634,49.95122,49.95122,0.00098,10.36488,12.86244,12.73756,12.11317,0.00065,12.23805,17.98244,17.98244,12.11317,0.00187,4.24585,12.11317,9.86537,4.24585,0.02189,0.99902,4.49561,2.2478,0.99902,3.53e-05,22.10341,43.70732,49.82634,49.95122,0.00036,7.74244,13.1122,12.73756,12.23805,0.00021,12.36293,22.22829,22.60293,12.4878,0.00091,4.49561,10.48976,7.49268,4.37073,0.00614,0.99902,5.24488,2.8722,0.99902,2.67e-05,38.83707,49.82634,49.95122,49.95122
NREM,0.0008,10.11512,12.4878,11.86341,10.86439,0.00047,11.23902,19.48098,19.48098,11.11415,0.00157,4.49561,11.11415,9.99024,2.8722,0.02279,0.99902,4.37073,1.99805,0.87415,4.4e-05,44.33171,49.82634,49.95122,49.95122,0.00107,10.24,12.86244,12.73756,12.4878,0.00067,11.98829,18.10732,17.85756,12.4878,0.00214,4.37073,11.73854,9.74049,3.74634,0.0366,0.74927,4.24585,1.87317,0.62439,3.4e-05,20.72976,43.95707,49.82634,49.95122,0.00032,7.9922,13.36195,12.73756,5.49463,0.00019,12.36293,22.22829,22.7278,12.4878,0.00078,4.74537,10.48976,7.86732,5.49463,0.0073,0.74927,5.12,2.49756,0.62439,2.62e-05,41.33463,49.82634,49.95122,49.95122
NREM,0.00077,9.61561,12.61268,12.23805,10.73951,0.00045,11.3639,20.10537,20.23024,10.73951,0.00154,4.74537,10.98927,9.61561,2.99707,0.01371,1.1239,4.87024,2.49756,1.1239,4.45e-05,45.70537,49.82634,49.95122,49.95122,0.00092,9.61561,12.73756,12.4878,10.24,0.00054,11.73854,18.98146,18.98146,11.73854,0.00196,4.24585,11.3639,9.36585,3.37171,0.01743,0.99902,4.74537,2.62244,0.62439,3.12e-05,23.22732,45.58049,49.95122,49.95122,0.00032,7.61756,13.23707,12.61268,5.49463,0.00018,12.23805,22.47805,22.97756,11.86341,0.00089,4.49561,9.99024,7.3678,4.74537,0.00669,0.87415,5.12,2.62244,0.49951,2.63e-05,43.95707,49.82634,49.95122,49.95122
NREM,0.00072,9.86537,13.1122,12.23805,10.36488,0.00044,11.48878,20.23024,20.48,10.36488,0.00132,4.74537,10.98927,9.99024,4.99512,0.01595,0.99902,4.62049,1.99805,0.62439,4.35e-05,40.58537,49.82634,49.95122,49.95122,0.00102,10.24,12.86244,12.61268,12.36293,0.00065,12.11317,17.73268,17.6078,12.36293,0.00197,4.37073,11.86341,9.99024,4.24585,0.01988,0.99902,4.62049,2.2478,0.62439,3.48e-05,21.72878,46.70439,49.95122,49.95122,0.00042,7.11805,12.98732,12.36293,4.99512,0.00021,12.11317,22.22829,22.35317,12.23805,0.00118,4.74537,8.86634,7.49268,4.99512,0.00604,0.87415,5.36976,3.12195,0.62439,2.65e-05,39.96098,49.82634,49.95122,49.95122
